Region,Dry Maize,Green Maize,Finger Millet,Sorghum,Wheat,Beans Canadian,Beans Rosecoco,Beans Mwitemania,Mwezi Moja,Beans Dolichos (Njahi),Green Gram,Cowpeas,Fresh Peas,Groundnuts,Red Irish Potatoes,White Irish Potatoes,Cassava Fresh,Sweet Potatoes,Cabbages,Cooking Bananas,Ripe Bananas,Carrots,Tomatoes,Onions Dry,Spring Onions,Chillies,Cucumber,Capsicums,Brinjals,Cauliflower,Lettuce,Passion Fruits,Oranges,Lemons,Mangoes Local,Mangoes Ngowe,Limes,Pineapples,Pawpaw,Avocado,Kales,Eggs
Region,Dry Maize,Green Maize,Finger Millet,Sorghum,Wheat,Beans Canadian,Beans Rosecoco,Beans Mwitemania,Mwezi Moja,Beans Dolichos (Njahi),Green Gram,Cowpeas,Fresh Peas,Groundnuts,Red Irish Potatoes,White Irish Potatoes,Cassava Fresh,Sweet Potatoes,Cabbages,Cooking Bananas,Ripe Bananas,Carrots,Tomatoes,Onions Dry,Spring Onions,Chillies,Cucumber,Capsicums,Brinjals,Cauliflower,Lettuce,Passion Fruits,Oranges,Lemons,Mangoes Local,Mangoes Ngowe,Limes,Pineapples,Pawpaw,Avocado,Kales,Eggs
Mombasa,2900,4500,4950,4050,,,5100,5200,,6480,6300,5500,2500,11550,2900,3100,1800,2500,5000,400,600,2500,2800,1100,1200,4700,1500,4000,1100,3100,1000,3000,2600,700,900,600,650,720,1100,3200,2800,330
Kisumu,3200,2000,7200,3600,,6200,6000,,,,7200,7200,2500,9000,3500,3500,1600,1800,800,250,250,3000,3500,910,1000,1000,,1500,900,,,3100,2600,1200,2000,1800,,620,1000,1500,800,290
Nakuru,2600,1600,5400,3100,3600,,5400,4500,4500,8100,6300,5400,2500,9900,3200,3200,,2600,900,500,350,2000,3600,750,900,3700,,4000,3000,,,3800,2600,1800,1500,600,,400,2600,2400,600,290
Eldoret,2500,1440,6300,3200, ,,6300,6300,,9000,,4950,1020,10170,1800,1500,,1600,800,1000,630,800,3800,650,1000,,,1500,,,,2850,3200,,2400,600,,780,1620,1800,400,310
Malindi,3600,3000,6000,5200,4500,6300,6000,6000,6000,9000,8200,6300,,14850,,3300,2900,4000,3000,900,600,3725,3650,700,,3800,2000,2000,1320,,7000,3420,2500,2400,2000,1000,600,600,2000,5200,1375,350
Marimanti,3150,,9000,2250,,,5400,5850,,9000,5400,3600,,,2700,2700,1600,2200,600,,,1400,1700,600,1000,,,,,,,,,,,,,,500,,400,
Imenti,3150,6000,8000,1800,3600,4500,4500,4500,4500,8000,7200,4500,2500,9900,2500,2500,1200,2300,1800,500,700,1300,1000,1040,2500,,,3000,,,,2300,,700,1000,600,,800,800,800,200,300
Nyahururu,2600,2500,6400,4000,2900,5000,5000,4500,,7800,6000,,2250,9500,,1400,,,1000,600,350,2070,3000,650,1300,,,2500,,,,4560,2790,,1600,,,,,,400,330
Kitale,2300,2000,4950,1800,3600,4500,4500,4500,,9000,7200,,2040,12100,,,,,,,,2760,3000,325,1500,1140,1500,1500,1320,,,1710,2500,2850,2000,,,390,2700,,200,300
Kakamega,2800,1800,6000,4800,нн,6000,6000,6000,6000,нн,7200,6000,5000,10000,-,2800,-,2000,3000,500,400,4000,4000,650,-,нн,--,--,нн,нн,нн,нн,4500,-,2000,1250,нн,1200,нн,нн,1000,300
Machakos,3000,2400,,,,5400,5300,5300,5300,,8400,4700,2450,,3500,3800,2000,3900,700,800,900,2400,3000,2400,4000,,,1500,800,,,,2600,,1000,700,,750,1250,2600,600,350
