,COMMODITY,Unit,Kg,Nairobi,Mombasa,Kisumu,Nakuru,Eldoret,Malindi,Marimanti,Imenti,Nyahururu,Kitale,Kakamega,Machakos,Average,Maximum.,Minimum.,,
CEREAL,Dry Maize,Bag,90,3000,2900,3200,2600,2500,3600,3150,3150,2600,2300,2800,3000,2967,3600,2300,,
,Green Maize,Ext Bag,115,3600,4500,2000,1600,1440,3000,,6000,2500,2000,1800,2400,3080,6000,1440,,
,Finger Millet,Bag,90,5600,4950,7200,5400,6300,6000,9000,8000,6400,4950,6000,,6539,9000,4950,,
,Sorghum,Bag,90,5400,4050,3600,3100,3200,5200,2250,1800,4000,1800,4800,,3622,5400,1800,,
,Wheat,Bag,90,,,,3600, ,4500,,3600,2900,3600,нн,,3650,4500,2900,,
LEGUMES,Beans Canadian,Bag,90,5600,,6200,,,6300,,4500,5000,4500,6000,5400,5520,6300,4500,,
 ,Beans Rosecoco,Bag,90,5000,5100,6000,5400,6300,6000,5400,4500,5000,4500,6000,5300,5411,6300,4500,,
,Beans Mwitemania,Bag,90,5000,5200,,4500,6300,6000,5850,4500,4500,4500,6000,5300,5231,6300,4500,,
,Mwezi Moja,Bag,90,5000,,,4500,,6000,,4500,,,6000,5300,5000,6000,4500,,
,Beans Dolichos (Njahi),Bag,90,7400,6480,,8100,9000,9000,9000,8000,7800,9000,нн,,8098,9000,6480,,
,Green Gram,Bag,90,6200,6300,7200,6300,,8200,5400,7200,6000,7200,7200,8400,6600,8400,5400,,
,Cowpeas,Bag,90,5800,5500,7200,5400,4950,6300,3600,4500,,,6000,4700,5406,7200,3600,,
,Fresh Peas,Bag,51,2700,2500,2500,2500,1020,,,2500,2250,2040,5000,2450,2281,5000,1020,,
,Groundnuts,Bag,110,12000,11550,9000,9900,10170,14850,,9900,9500,12100,10000,,10859,14850,9000,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,110,3100,2900,3500,3200,1800,,2700,2500,,,-,3500,2814,3500,1800,,
,White Irish Potatoes,Bag,110,3200,3100,3500,3200,1500,3300,2700,2500,1400,,2800,3800,2711,3800,1400,,
,Cassava Fresh,Bag,99,2300,1800,1600,,,2900,1600,1200,,,-,2000,1900,2900,1200,,
,Sweet Potatoes,Bag,98,3200,2500,1800,2600,1600,4000,2200,2300,,,2000,3900,2525,4000,1600,,
HORTICULTURE,Cabbages,Ext Bag,126,1700,5000,800,900,800,3000,600,1800,1000,,3000,700,1733,5000,600,,
,Cooking Bananas,Med Bunch,22,610,400,250,500,1000,900,,500,600,,500,800,595,1000,250,,
,Ripe Bananas,Med Bunch,14,700,600,250,350,630,600,,700,350,,400,900,523,900,250,,
,Carrots,Ext Bag,138,2400,2500,3000,2000,800,3725,1400,1300,2070,2760,4000,2400,2133,4000,800,,
,Tomatoes,Lg Box,64,4200,2800,3500,3600,3800,3650,1700,1000,3000,3000,4000,3000,3028,4200,1000,,
,Onions Dry,net,13,720,1100,910,750,650,700,600,1040,650,325,650,2400,791,2400,325,,
,Spring Onions,Bag,142,1900,1200,1000,900,1000,,1000,2500,1300,1500,-,4000,1350,4000,900,,
,Chillies,Bag,38,3300,4700,1000,3700,,3800,,,,1140,нн,,3300,4700,1000,,
,Cucumber,Bag,50,1800,1500,,,,2000,,,,1500,--,,1767,2000,1500,,
,Capsicums,Bag,50,3700,4000,1500,4000,1500,2000,,3000,2500,1500,--,1500,2775,4000,1500,,
,Brinjals,Bag,44,1800,1100,900,3000,,1320,,,,1320,нн,800,1624,3000,800,,
,Cauliflower,crate,39,3000,3100,,,,,,,,,нн,,3050,3100,3000,,
,Lettuce,Bag,51,3200,1000,,,,7000,,,,,нн,,3733,7000,1000,,
,Passion Fruits,Bag,57,3900,3000,3100,3800,2850,3420,,2300,4560,1710,нн,,3366,4560,1710,,
,Oranges,Bag,93,2600,2600,2600,2600,3200,2500,,,2790,2500,4500,2600,2699,4500,2500,,
,Lemons,Bag,95,1800,700,1200,1800,,2400,,700,,2850,-,,1433,2850,700,,
,Mangoes Local,Bag,126,1600,900,2000,1500,2400,2000,,1000,1600,2000,2000,1000,1625,2400,900,,
,Mangoes Ngowe,Sm Basket,25,850,600,1800,600,600,1000,,600,,,1250,700,864,1800,600,,
,Limes,net,13,750,650,,,,600,,,,,нн,,667,750,600,,
,Pineapples,Dozen,13,840,720,620,400,780,600,,800,,390,1200,750,680,1200,390,,
,Pawpaw,Lg Box,54,2200,1100,1000,2600,1620,2000,500,800,,2700,нн,1250,1478,2700,500,,
,Avocado,Bag,90,2600,3200,1500,2400,1800,5200,,800,,,нн,2600,2500,5200,800,,
,Kales,Bag,50,1000,2800,800,600,400,1375,400,200,400,200,1000,600,886,2800,200,,
OTHERS,Eggs,Tray,,300,330,290,290,310,350,,300,330,300,300,350,313,350,290,,
,,,,,,,,,,,,,,,,,,,,
